Report_Type,Dataset,Model,Hour,WAPE,MAE,RMSE,MAPE,sMAPE,Broj_redova
summary,validation,gru_seq24_h32_l1_d0_lr0.001_bs64,,30.0027,0.3745,0.5403,39.1649,31.8706,5024
hourly,validation,gru_seq24_h32_l1_d0_lr0.001_bs64,0,38.4321,0.243,0.3355,47.6469,36.1944,209
hourly,validation,gru_seq24_h32_l1_d0_lr0.001_bs64,1,32.5473,0.173,0.2809,32.3351,28.2238,209
hourly,validation,gru_seq24_h32_l1_d0_lr0.001_bs64,2,30.7171,0.1472,0.244,28.4317,26.05,209
hourly,validation,gru_seq24_h32_l1_d0_lr0.001_bs64,3,29.7957,0.129,0.2149,28.1665,24.4884,209
hourly,validation,gru_seq24_h32_l1_d0_lr0.001_bs64,4,30.2292,0.1245,0.2101,27.5337,25.6621,209
hourly,validation,gru_seq24_h32_l1_d0_lr0.001_bs64,5,35.9167,0.1577,0.2249,34.3855,32.1307,209
hourly,validation,gru_seq24_h32_l1_d0_lr0.001_bs64,6,34.1953,0.2822,0.3731,39.2494,33.4259,209
hourly,validation,gru_seq24_h32_l1_d0_lr0.001_bs64,7,28.7587,0.5092,0.6377,43.0671,34.524,210
hourly,validation,gru_seq24_h32_l1_d0_lr0.001_bs64,8,23.1796,0.3822,0.5067,31.8986,26.2939,210
hourly,validation,gru_seq24_h32_l1_d0_lr0.001_bs64,9,21.849,0.3389,0.4563,30.1485,24.2278,210
hourly,validation,gru_seq24_h32_l1_d0_lr0.001_bs64,10,23.8286,0.3602,0.4895,29.6301,25.5622,210
hourly,validation,gru_seq24_h32_l1_d0_lr0.001_bs64,11,27.917,0.4215,0.6251,38.3761,30.2701,210
hourly,validation,gru_seq24_h32_l1_d0_lr0.001_bs64,12,29.8073,0.4342,0.6171,41.9908,32.3965,210
hourly,validation,gru_seq24_h32_l1_d0_lr0.001_bs64,13,31.3524,0.4249,0.5707,45.3475,36.1545,210
hourly,validation,gru_seq24_h32_l1_d0_lr0.001_bs64,14,34.3795,0.4301,0.6145,47.745,36.7984,210
